"TEAM","Total_GP","Total_Wins","Total_3PM","Total_3PA","Average_Wins","Average_3PM"
"Atlanta Hawks",646,329,89.1,247,41.125,11.1375
"Boston Celtics",646,389,95.6,265.1,48.625,11.95
"Brooklyn Nets",646,286,87.8,243.4,35.75,10.975
"Charlotte Hornets",646,295,86.9,245.9,36.875,10.8625
"Chicago Bulls",646,299,77.1,214.7,37.375,9.6375
"Cleveland Cavaliers",646,347,89.3,246.3,43.375,11.1625
"Dallas Mavericks",646,314,95.8,270.1,39.25,11.975
"Denver Nuggets",646,351,86.5,240.9,43.875,10.8125
"Detroit Pistons",646,253,82.5,238.1,31.625,10.3125
"Golden State Warriors",646,458,106,274.4,57.25,13.25
"Houston Rockets",646,329,105.6,302.8,41.125,13.2
"Indiana Pacers",646,315,80.8,223.5,39.375,10.1
"LA Clippers",646,383,89.4,235.8,47.875,11.175
"Los Angeles Lakers",646,254,77.4,226.2,31.75,9.675
"Memphis Grizzlies",646,340,74.5,213.6,42.5,9.3125
"Miami Heat",646,346,83.6,235,43.25,10.45
"Milwaukee Bucks",646,375,86.4,236.3,46.875,10.8
"Minnesota Timberwolves",646,270,76,215.7,33.75,9.5
"New Orleans Pelicans",646,299,77.8,220.6,37.375,9.725
"New York Knicks",646,251,78.6,221.3,31.375,9.825
"Oklahoma City Thunder",646,330,82.6,241.8,41.25,10.325
"Orlando Magic",646,233,78.7,229,29.125,9.8375
"Philadelphia 76ers",646,313,85.1,238.1,39.125,10.6375
"Phoenix Suns",646,286,80.8,229.7,35.75,10.1
"Portland Trail Blazers",646,340,93.3,255.1,42.5,11.6625
"Sacramento Kings",646,269,80.2,220.5,33.625,10.025
"San Antonio Spurs",646,367,75.2,206.5,45.875,9.4
"Toronto Raptors",646,389,87.6,245.1,48.625,10.95
"Utah Jazz",646,365,92.9,256.3,45.625,11.6125
"Washington Wizards",646,315,77.1,216.9,39.375,9.6375
